Mar 27 17:33:06 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.25, long 100.82, max 102.00
Mar 27 17:33:16 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.17, long 100.82, max 103.00
Mar 27 17:33:26 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.15, long 100.82, max 101.00
Mar 27 17:33:36 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.19, long 100.82, max 102.00
Mar 27 17:33:46 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.21, long 100.82, max 103.00
Mar 27 17:33:56 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.18, long 100.82, max 102.00
Mar 27 17:34:06 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 101.00
Mar 27 17:34:16 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 101.23, long 100.82, max 202.00
Mar 27 17:34:26 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 102.00
Mar 27 17:34:36 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.20, long 100.82, max 101.00
Mar 27 17:34:46 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 103.00
Mar 27 17:34:56 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.21, long 100.82, max 101.00
Mar 27 17:35:06 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.12, long 100.82, max 102.00
Mar 27 17:35:16 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 102.18, long 100.82, max 302.00
Mar 27 17:35:26 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.19, long 100.82, max 102.00
Mar 27 17:35:36 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 101.00
Mar 27 17:35:46 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.28, long 100.82, max 102.00
Mar 27 17:35:56 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.24, long 100.82, max 102.00
Mar 27 17:36:07 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 101.26, long 100.82, max 202.00
Mar 27 17:36:17 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.23, long 100.82, max 102.00
Mar 27 17:36:27 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.21, long 100.82, max 102.00
Mar 27 17:36:37 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.11, long 100.82, max 102.00
Mar 27 17:36:47 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.18, long 100.82, max 102.00
Mar 27 17:36:57 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 102.18, long 100.82, max 201.00
Mar 27 17:37:07 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.20, long 100.82, max 102.00
Mar 27 17:37:17 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 102.00
Mar 27 17:37:27 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.30, long 100.82, max 102.00
Mar 27 17:37:37 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 102.00
Mar 27 17:37:47 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.26, long 100.82, max 102.00
Mar 27 17:37:57 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.18, long 100.82, max 102.00
Mar 27 17:38:07 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.24, long 100.82, max 102.00
Mar 27 17:38:17 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 102.00
Mar 27 17:38:28 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 109.16, long 100.82, max 499.00
Mar 27 17:38:38 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 101.00
Mar 27 17:38:48 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.21, long 100.82, max 102.00
Mar 27 17:38:58 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.24, long 100.82, max 102.00
Mar 27 17:39:08 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.17, long 100.82, max 101.00
Mar 27 17:39:18 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.13, long 100.82, max 101.00
Mar 27 17:39:28 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.16, long 100.82, max 102.00
Mar 27 17:39:38 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 101.00
Mar 27 17:39:48 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.18, long 100.82, max 102.00
Mar 27 17:39:58 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.24, long 100.82, max 102.00
Mar 27 17:40:08 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.11, long 100.82, max 101.00
Mar 27 17:40:18 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 101.16, long 100.82, max 201.00
Mar 27 17:40:28 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 102.00
Mar 27 17:40:38 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.20, long 100.82, max 102.00
Mar 27 17:40:48 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.22, long 100.82, max 101.00
Mar 27 17:40:58 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.18, long 100.82, max 102.00
Mar 27 17:41:08 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 101.18, long 100.82, max 200.00
Mar 27 17:41:19 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.21, long 100.82, max 101.00
Mar 27 17:41:29 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.23, long 100.82, max 102.00
Mar 27 17:41:39 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.20, long 100.82, max 102.00
Mar 27 17:41:49 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 100.17, long 100.82, max 101.00
Mar 27 17:41:59 device1401 chirp-publisher[404]: chirp.TrackerTimelineHandler - INFO - Data frame rate: short 101.16, long 100.82, max 200.00
